# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 187000    8.60e-01  7.76e-01    1.42e-02  1.24e-02    7.61e-02  6.88e-02    1.2e-04
 188000    6.96e-01  7.22e-01    1.17e-02  1.16e-02    6.19e-02  6.45e-02    1.1e-04
 189000    5.67e-01  5.23e-01    6.31e-03  3.79e-03    5.20e-02  4.83e-02    1.1e-04
 190000    6.02e-01  5.85e-01    1.06e-04  1.71e-03    5.66e-02  5.49e-02    1.1e-04
 191000    7.21e-01  6.21e-01    8.76e-03  9.36e-03    6.63e-02  5.64e-02    1.1e-04
 192000    6.80e-01  6.06e-01    2.06e-03  1.34e-03    6.46e-02  5.76e-02    1.1e-04
 193000    6.15e-01  6.98e-01    1.91e-03  9.90e-04    5.84e-02  6.64e-02    1.1e-04
 194000    5.94e-01  5.81e-01    1.05e-02  1.10e-02    5.47e-02  5.31e-02    1.1e-04
 195000    7.02e-01  8.37e-01    2.25e-03  5.31e-03    6.75e-02  8.01e-02    1.1e-04
 196000    6.57e-01  7.51e-01    6.70e-04  9.76e-04    6.39e-02  7.31e-02    1.0e-04
 197000    4.63e-01  5.61e-01    9.20e-05  1.83e-03    4.51e-02  5.45e-02    1.0e-04
 198000    5.57e-01  4.87e-01    7.94e-03  8.70e-03    5.33e-02  4.58e-02    1.0e-04
 199000    6.24e-01  6.27e-01    5.63e-03  6.32e-03    6.07e-02  6.09e-02    1.0e-04
 200000    5.39e-01  6.51e-01    2.95e-03  5.66e-03    5.35e-02  6.41e-02    1.0e-04
 201000    5.68e-01  5.11e-01    3.20e-03  3.91e-03    5.63e-02  5.05e-02    1.0e-04
 202000    6.26e-01  5.13e-01    1.45e-03  9.22e-04    6.30e-02  5.16e-02    9.8e-05
 203000    5.59e-01  4.82e-01    4.50e-03  3.51e-03    5.59e-02  4.82e-02    9.8e-05
 204000    8.38e-01  5.38e-01    9.77e-03  7.74e-03    8.37e-02  5.32e-02    9.5e-05
 205000    5.77e-01  5.32e-01    2.83e-03  3.35e-03    5.85e-02  5.39e-02    9.5e-05
 206000    6.81e-01  5.73e-01    3.88e-03  3.48e-03    6.98e-02  5.87e-02    9.3e-05
 207000    5.01e-01  5.25e-01    4.57e-03  4.94e-03    5.11e-02  5.34e-02    9.3e-05
 208000    7.95e-01  6.33e-01    6.61e-03  7.28e-03    8.20e-02  6.47e-02    9.1e-05
 209000    5.07e-01  7.63e-01    9.08e-03  1.09e-02    5.06e-02  7.74e-02    9.1e-05
 210000    5.32e-01  5.51e-01    7.62e-04  2.35e-03    5.61e-02  5.79e-02    8.9e-05
 211000    4.95e-01  4.63e-01    1.64e-03  6.99e-04    5.21e-02  4.88e-02    8.9e-05
 212000    7.43e-01  1.00e+00    3.90e-03  1.46e-03    7.89e-02  1.07e-01    8.7e-05
 213000    7.00e-01  8.05e-01    2.76e-03  1.66e-03    7.45e-02  8.57e-02    8.7e-05
 214000    5.41e-01  7.76e-01    3.85e-03  5.43e-03    5.79e-02  8.31e-02    8.5e-05
 215000    7.25e-01  6.51e-01    8.46e-04  2.27e-03    7.82e-02  7.01e-02    8.5e-05
 216000    4.55e-01  4.93e-01    2.72e-03  3.01e-03    4.94e-02  5.35e-02    8.3e-05
 217000    4.73e-01  5.11e-01    3.14e-04  1.84e-03    5.16e-02  5.56e-02    8.3e-05
 218000    5.10e-01  3.91e-01    3.16e-03  4.60e-03    5.59e-02  4.23e-02    8.1e-05
